,LyrName,Type,Stride,OutT(W),OutT(H),OutT(D),OutT(Size),InT(W),InT(H),InT(D),InT(Size),WgtT(W),WgtT(H),WgtT(D),WgtT(Num),simd_cycles,MAC,WgtT(Size),index,Load Cycles,Store Cycles,conv_cycles,Layer Cycles,tiles,Stage Cycles
12,layer17-conv;layer17-bn+layer17-scale,Convolution;BatchNorm+Scale,1,52,52,128,346112,52,52,256,692224,1,1,256,128,64896,88604672,32768,40,86528,43264,170918,170918,1,170918
13,layer18-conv;layer18-bn+layer18-scale,Convolution;BatchNorm+Scale,1,52,52,256,692224,52,52,128,346112,3,3,128,256,129792,797442048,294912,43,43264,86528,1384448,1384448,1,1384448
14,layer20-conv;layer20-bn+layer20-scale,Convolution;BatchNorm+Scale,1,52,52,128,346112,52,52,256,692224,1,1,256,128,64896,88604672,32768,47,86528,43264,170918,170918,1,170918
15,layer21-conv;layer21-bn+layer21-scale,Convolution;BatchNorm+Scale,1,52,52,256,692224,52,52,128,346112,3,3,128,256,129792,797442048,294912,50,43264,86528,1384448,1384448,1,1384448
16,layer23-conv;layer23-bn+layer23-scale,Convolution;BatchNorm+Scale,1,52,52,128,346112,52,52,256,692224,1,1,256,128,64896,88604672,32768,54,86528,43264,170918,170918,1,170918
17,layer24-conv;layer24-bn+layer24-scale,Convolution;BatchNorm+Scale,1,52,52,256,692224,52,52,128,346112,3,3,128,256,129792,797442048,294912,57,43264,86528,1384448,1384448,1,1384448
18,layer26-conv;layer26-bn+layer26-scale,Convolution;BatchNorm+Scale,1,52,52,128,346112,52,52,256,692224,1,1,256,128,64896,88604672,32768,61,86528,43264,170918,170918,1,170918
19,layer27-conv;layer27-bn+layer27-scale,Convolution;BatchNorm+Scale,1,52,52,256,692224,52,52,128,346112,3,3,128,256,129792,797442048,294912,64,43264,86528,1384448,1384448,1,1384448
20,layer29-conv;layer29-bn+layer29-scale|layer60-conv;layer60-bn+layer60-scale,Convolution;BatchNorm+Scale|Convolution;BatchNorm+Scale,2,26,26,256,173056,52,52,256,692224,1,1,256,128,97344,177209344,32768,68,129792,64896,341836,341836,1,341836
21,layer30-conv;layer30-bn+layer30-scale,Convolution;BatchNorm+Scale,1,52,52,256,692224,52,52,128,346112,3,3,128,256,129792,797442048,294912,71,43264,86528,1384448,1384448,1,1384448
22,layer32-conv;layer32-bn+layer32-scale,Convolution;BatchNorm+Scale,1,52,52,128,346112,52,52,256,692224,1,1,256,128,64896,88604672,32768,75,86528,43264,170918,170918,1,170918
23,layer33-conv;layer33-bn+layer33-scale,Convolution;BatchNorm+Scale,1,52,52,256,692224,52,52,128,346112,3,3,128,256,129792,797442048,294912,78,43264,86528,1384448,1384448,1,1384448
