LyrName,Type,InT(W),InT(H),InT(D),InDatatype,OutT(W),OutT(H),OutT(D),OutDatatype,WgtT(W),WgtT(H),WgtT(D),WgtT(Num),WgtDatatype,Si,Sj,G,Activation Function,Parent Op,Num_Layers,Gflops,O/P Activation (MB),Weight (MB)
Conv_7,Convolution,56,56,96,Int8,56,56,24,Int8,1,1,1,2304,Int8,1,1,1,"BN, Swish",BroadCast Mul_6,1,1.45E-02,7.18E-02,2.20E-03
Conv_8,Convolution,56,56,24,Int8,56,56,144,Int8,1,1,1,3456,Int8,1,1,1,"BN, Swish",Conv_7,1,2.17E-02,4.31E-01,3.30E-03
Conv_DW_9,Convolution_DW,56,56,144,Int8,56,56,144,Int8,3,3,1,144,Int8,1,1,144,"BN, Swish",Conv_8,1,8.13E-03,4.31E-01,1.24E-03
AvgPool_10_1,AvgPool,56,56,144,Int8,1,1,144,Int8,,,,,Int8,1,1,1,,Conv_DW_9,,,,
Conv_10_1,Convolution,1,1,144,Int8,1,1,6,Int8,1,1,1,864,Int8,1,1,1,"BN, Swish",AvgPool_10_1,1,1.73E-06,5.72E-06,8.24E-04
Conv_10_2,Convolution,1,1,6,Int8,1,1,144,Int8,1,1,1,864,Int8,1,1,1,BN ,Conv_10_1,1,1.73E-06,1.37E-04,8.24E-04
Sigmoid_10,Sigmoid,1,1,144,Int8,1,1,144,Int8,,,,,Int8,,,,,Conv_10_2,,,,
BroadCast Mul_10,BroadCast_Mul,1,1,144,Int8,56,56,144,Int8,,,,,Int8,,,,,"Sigmoid_10, Conv_9",,,,
Conv_11,Convolution,56,56,144,Int8,56,56,24,Int8,1,1,1,3456,Int8,1,1,1,BN,BroadCast Mul_10,1,2.17E-02,7.18E-02,3.30E-03
Add_11,Add,56,56,24,Int8,56,56,24,Int8,,,,,Int8,,,,,"Conv_11, Conv_7",,,,
Conv_12,Convolution,56,56,24,Int8,56,56,144,Int8,1,1,1,3456,Int8,1,1,1,"BN, Swish",Add_11,1,2.17E-02,4.31E-01,3.30E-03
Conv_DW_13,Convolution_DW,56,56,144,Int8,28,28,144,Int8,5,5,1,216,Int8,2,2,96,"BN, Swish",Conv_12,1,8.47E-03,1.08E-01,5.15E-03
AvgPool_14_1,AvgPool,28,28,144,Int8,1,1,144,Int8,,,,,Int8,1,1,1,,Conv_DW_13,,,,
Conv_14_1,Convolution,1,1,144,Int8,1,1,6,Int8,1,1,1,864,Int8,1,1,1,"BN, Swish",AvgPool_14_1,1,1.73E-06,5.72E-06,8.24E-04
